Food Item,Recipe
corn-flakes,Blend corn flakes with milk and honey for a smoothie.
peas,Use peas as a topping on pancakes.
tiramisu,Use tiramisu as a topping on pancakes.
apricots,Layer apricots in a sandwich with lettuce and mayo.
cake-marble,Enjoy cake marble with a cup of tea or coffee.
lamb,Layer lamb in a sandwich with lettuce and mayo.
lasagne-meat-prepared,Mix lasagne meat prepared with yogurt and a pinch of salt.
coca-cola-zero,Enjoy coca cola zero with a cup of tea or coffee.
cake-salted,Blend cake salted with milk and honey for a smoothie.
dough-puff-pastry-shortcrust-bread-pizza-dough,Toast dough puff pastry shortcrust bread pizza dough and spread with butter or jam.
rice-waffels,Boil rice waffels for 5 minutes and season lightly.
sekt,Serve sekt with fresh herbs and olive oil.
brioche,Blend brioche with milk and honey for a smoothie.
vegetable-au-gratin-baked,Toast vegetable au gratin baked and spread with butter or jam.
mango-dried,Enjoy mango dried with a cup of tea or coffee.
processed-meat-charcuterie,Grill processed meat charcuterie until golden brown and serve hot.
mousse,Mix mousse with yogurt and a pinch of salt.
sauce-sweet-sour,Enjoy sauce sweet sour with a cup of tea or coffee.
basil,Grill basil until golden brown and serve hot.
butter-spread-puree-almond,Use butter spread puree almond as a topping on pancakes.
pie-apricot-baked-with-cake-dough,Use pie apricot baked with cake dough as a topping on pancakes.
rusk-wholemeal,Layer rusk wholemeal in a sandwich with lettuce and mayo.
beef-roast,Blend beef roast with milk and honey for a smoothie.
vanille-cream-cooked-custard-creme-dessert,Add vanille cream cooked custard creme dessert to a salad with tomatoes and cucumber.
pasta-in-conch-form,Boil pasta in conch form for 5 minutes and season lightly.
nuts,Grill nuts until golden brown and serve hot.
sauce-carbonara,Add sauce carbonara to a salad with tomatoes and cucumber.
fig-dried,Blend fig dried with milk and honey for a smoothie.
pasta-in-butterfly-form-farfalle,Blend pasta in butterfly form farfalle with milk and honey for a smoothie.
minced-meat,Enjoy minced meat with a cup of tea or coffee.
carrot-steamed-without-addition-of-salt,Blend carrot steamed without addition of salt with milk and honey for a smoothie.
ebly,Toast ebly and spread with butter or jam.
damson-plum,Boil damson plum for 5 minutes and season lightly.
shoots,Boil shoots for 5 minutes and season lightly.
bouquet-garni,Blend bouquet garni with milk and honey for a smoothie.
coconut,Use coconut as a topping on pancakes.
banana-cake,Blend banana cake with milk and honey for a smoothie.
waffle,Enjoy waffle with a cup of tea or coffee.
apricot-dried,Use apricot dried as a topping on pancakes.
sauce-curry,Serve sauce curry with fresh herbs and olive oil.
watermelon-fresh,Serve watermelon fresh with fresh herbs and olive oil.
sauce-sweet-salted-asian,Blend sauce sweet salted asian with milk and honey for a smoothie.
pork-roast,Layer pork roast in a sandwich with lettuce and mayo.
blackberry,Boil blackberry for 5 minutes and season lightly.
smoked-cooked-sausage-of-pork-and-beef-meat-sausag,Mix smoked cooked sausage of pork and beef meat sausag with yogurt and a pinch of salt.
bean-seeds,Enjoy bean seeds with a cup of tea or coffee.
italian-salad-dressing,Serve italian salad dressing with fresh herbs and olive oil.
white-asparagus,Boil white asparagus for 5 minutes and season lightly.
pie-rhubarb-baked-with-cake-dough,Toast pie rhubarb baked with cake dough and spread with butter or jam.
tomato-stewed-without-addition-of-fat-without-addition-of-salt,Grill tomato stewed without addition of fat without addition of salt until golden brown and serve hot.
cherries,Grill cherries until golden brown and serve hot.
nectarine,Toast nectarine and spread with butter or jam.
